Material,Sustainability_Score,Water_Usage_Liters,CO2_kg,Eco_Notes
Hemp 32,95,160,1.5,"MATERIAL ANALYSIS: HEMP
---------------------------------
🌍 PRIMARY IMPACT: Highly renewable; restores soil health.
⚡ ENERGY RATING: Excellent
🧵 DURABILITY: High - Resistant to wear and tear.
🧪 CHEMICALS: Zero toxic dyes detected.
🌱 END-OF-LIFE: 100% Biodegradable (Natural state)."
Organic Cotton 80,85,250,2.1,"MATERIAL ANALYSIS: ORGANIC COTTON
---------------------------------
🌍 PRIMARY IMPACT: Uses non-GMO seeds and natural pest control.
⚡ ENERGY RATING: Average
🧵 DURABILITY: High - Resistant to wear and tear.
🧪 CHEMICALS: Zero toxic dyes detected.
🌱 END-OF-LIFE: 100% Biodegradable (Natural state)."
Organic Cotton 94,85,250,2.1,"MATERIAL ANALYSIS: ORGANIC COTTON
---------------------------------
🌍 PRIMARY IMPACT: Uses non-GMO seeds and natural pest control.
⚡ ENERGY RATING: Average
🧵 DURABILITY: High - Resistant to wear and tear.
🧪 CHEMICALS: Zero toxic dyes detected.
🌱 END-OF-LIFE: 100% Biodegradable (Natural state)."
Organic Cotton 28,85,250,2.1,"MATERIAL ANALYSIS: ORGANIC COTTON
---------------------------------
🌍 PRIMARY IMPACT: Uses non-GMO seeds and natural pest control.
⚡ ENERGY RATING: Good
🧵 DURABILITY: High - Resistant to wear and tear.
🧪 CHEMICALS: Zero toxic dyes detected.
🌱 END-OF-LIFE: 100% Biodegradable (Natural state)."
Hemp 2,95,160,1.5,"MATERIAL ANALYSIS: HEMP
---------------------------------
🌍 PRIMARY IMPACT: Highly renewable; restores soil health.
⚡ ENERGY RATING: Good
🧵 DURABILITY: High - Resistant to wear and tear.
🧪 CHEMICALS: Zero toxic dyes detected.
🌱 END-OF-LIFE: 100% Biodegradable (Natural state)."
Recycled Polyester 31,70,10,3.5,"MATERIAL ANALYSIS: RECYCLED POLYESTER
---------------------------------
🌍 PRIMARY IMPACT: Made from ocean plastic; saves energy.
⚡ ENERGY RATING: Excellent
🧵 DURABILITY: High - Resistant to wear and tear.
🧪 CHEMICALS: Zero toxic dyes detected.
🌱 END-OF-LIFE: 100% Biodegradable (Natural state)."
Linen 26,92,180,1.7,"MATERIAL ANALYSIS: LINEN
---------------------------------
🌍 PRIMARY IMPACT: Very durable; requires minimal irrigation.
⚡ ENERGY RATING: Good
🧵 DURABILITY: High - Resistant to wear and tear.
🧪 CHEMICALS: Zero toxic dyes detected.
🌱 END-OF-LIFE: 100% Biodegradable (Natural state)."
Recycled Polyester 99,70,10,3.5,"MATERIAL ANALYSIS: RECYCLED POLYESTER
---------------------------------
🌍 PRIMARY IMPACT: Made from ocean plastic; saves energy.
⚡ ENERGY RATING: Good
🧵 DURABILITY: High - Resistant to wear and tear.
🧪 CHEMICALS: Zero toxic dyes detected.
🌱 END-OF-LIFE: 100% Biodegradable (Natural state)."
Recycled Polyester 18,70,10,3.5,"MATERIAL ANALYSIS: RECYCLED POLYESTER
---------------------------------
🌍 PRIMARY IMPACT: Made from ocean plastic; saves energy.
⚡ ENERGY RATING: Good
🧵 DURABILITY: High - Resistant to wear and tear.
🧪 CHEMICALS: Zero toxic dyes detected.
🌱 END-OF-LIFE: 100% Biodegradable (Natural state)."
Hemp 78,95,160,1.5,"MATERIAL ANALYSIS: HEMP
---------------------------------
🌍 PRIMARY IMPACT: Highly renewable; restores soil health.
⚡ ENERGY RATING: Average
🧵 DURABILITY: High - Resistant to wear and tear.
🧪 CHEMICALS: Zero toxic dyes detected.
🌱 END-OF-LIFE: 100% Biodegradable (Natural state)."
Hemp 19,95,160,1.5,"MATERIAL ANALYSIS: HEMP
---------------------------------
🌍 PRIMARY IMPACT: Highly renewable; restores soil health.
⚡ ENERGY RATING: Excellent
🧵 DURABILITY: High - Resistant to wear and tear.
🧪 CHEMICALS: Zero toxic dyes detected.
🌱 END-OF-LIFE: 100% Biodegradable (Natural state)."
Recycled Polyester 74,70,10,3.5,"MATERIAL ANALYSIS: RECYCLED POLYESTER
---------------------------------
🌍 PRIMARY IMPACT: Made from ocean plastic; saves energy.
⚡ ENERGY RATING: Average
🧵 DURABILITY: High - Resistant to wear and tear.
🧪 CHEMICALS: Zero toxic dyes detected.
🌱 END-OF-LIFE: 100% Biodegradable (Natural state)."
Recycled Polyester 56,70,10,3.5,"MATERIAL ANALYSIS: RECYCLED POLYESTER
---------------------------------
🌍 PRIMARY IMPACT: Made from ocean plastic; saves energy.
⚡ ENERGY RATING: Good
🧵 DURABILITY: High - Resistant to wear and tear.
🧪 CHEMICALS: Zero toxic dyes detected.
🌱 END-OF-LIFE: 100% Biodegradable (Natural state)."
